Number,Result,FaceType,Color,Season,Word,"MBTI(E,I/S,N)","MBTI(T,F/J,P)"
0,없음,강아지상,초록,봄,시원,없음,없음
1,까마귀쪽나무,고양이상,하양,여름,수수,ES,EN
2,좊은잎천선과,공룡상,노랑,가을,포근,EN,TP
3,문주란,여우상,빨강,겨울,화려,IS,FJ
4,참식나무,토끼상,보라,,,IN,FP
5,제주조릿대,,,,,,
6,자귀나무,,,,,,
7,산유자,,,,,,
8,초피나무,,,,,,
9,메밀,,,,,,
10,꾸지뽕나무,,,,,,
11,구실잣밤나무,,,,,,
12,멀구슬나무,,,,,,
13,예덕나무,,,,,,
14,차풀,,,,,,
15,합다리나무,,,,,,
16,쪽동백나무,,,,,,
17,율초,,,,,,
18,붉가시나무,,,,,,
19,다정큼나무,,,,,,
20,돈나무,,,,,,
21,팔손이,,,,,,
22,큰조롱,,,,,,
23,상산,,,,,,
24,대반하,,,,,,
25,털쇠무릅,,,,,,
26,돌외,,,,,,
27,등수국,,,,,,
28,병솔나무,,,,,,
29,비쭈기나무,,,,,,
30,삼백초(2급),,,,,,
31,생달나무,,,,,,
32,섬오갈피,,,,,,
33,소사나무,,,,,,
34,솔비나무,,,,,,
35,말오줌때,,,,,,
36,눈개승마,,,,,,
37,송악,,,,,,
38,우묵사스레피,,,,,,
39,조록나무,,,,,,
40,순비기나무,,,,,,
41,참꽃나무,,,,,,
42,갯까치수염,,,,,,
43,참가시나무,,,,,,
44,서어나무,,,,,,
45,아왜나무,,,,,,
46,황근(2급),,,,,,
47,황칠나무,,,,,,
48,해국,,,,,,
49,왜모시풀,,,,,,
50,비자나무,,,,,,
51,한라꽃향유,,,,,,
52,붓순나무,,,,,,
53,백량금,,,,,,
54,갯기름나물,,,,,,
55,담팔수,,,,,,
56,참취,,,,,,
57,번행초,,,,,,
58,(참)당귀,,,,,,
59,사방오리나무,,,,,,
60,꽝꽝나무,,,,,,
